Datetime,T2M,QNN_IS
08-05-2025 01:00:00,27.6,28.23983647067505
08-05-2025 02:00:00,28.13333333,27.955229803161853
08-05-2025 03:00:00,28.66666667,29.50097901202352
08-05-2025 04:00:00,29.2,31.161872924596942
08-05-2025 05:00:00,31.93333333,31.631711425386698
08-05-2025 06:00:00,34.66666667,34.3650659137486
08-05-2025 07:00:00,37.4,39.43424433991557
08-05-2025 08:00:00,38.4,39.3885619839859
08-05-2025 09:00:00,39.4,38.79525211361923
08-05-2025 10:00:00,40.4,41.098892313240555
08-05-2025 11:00:00,40.0,39.40305397134357
08-05-2025 12:00:00,39.6,39.00007571758074
08-05-2025 13:00:00,39.2,39.51168084286866
08-05-2025 14:00:00,37.36666667,34.90209731611155
08-05-2025 15:00:00,35.53333333,33.31140079300897
08-05-2025 16:00:00,33.7,32.97569595906803
08-05-2025 17:00:00,32.96666667,31.662000222515104
08-05-2025 18:00:00,32.23333333,32.638127320644074
08-05-2025 19:00:00,31.5,30.330339509660945
08-05-2025 20:00:00,30.76666667,28.94742433453297
08-05-2025 21:00:00,30.03333333,31.921291484344746
08-05-2025 22:00:00,29.3,29.009168924642847
08-05-2025 23:00:00,28.9,28.986985659451435
09-05-2025 00:00:00,28.5,26.664727448289796
09-05-2025 01:00:00,28.1,27.398759821831
09-05-2025 02:00:00,29.03333333,29.176216954088105
09-05-2025 03:00:00,29.96666667,28.48402788493022
09-05-2025 04:00:00,30.9,31.383950965843464
09-05-2025 05:00:00,32.36666667,31.592961034316527
09-05-2025 06:00:00,33.83333333,33.457591470714824
09-05-2025 07:00:00,35.3,34.52491873280286
09-05-2025 08:00:00,34.4,36.78599027046001
09-05-2025 09:00:00,33.5,33.48261370933791
09-05-2025 10:00:00,32.6,31.23752215700955
09-05-2025 11:00:00,31.7,32.75955151537613
09-05-2025 12:00:00,30.8,29.227384668812043
09-05-2025 13:00:00,29.9,30.16904517350711
09-05-2025 14:00:00,28.23333333,25.70900740099387
09-05-2025 15:00:00,26.56666667,24.855779495203123
09-05-2025 16:00:00,24.9,25.153584476318272
09-05-2025 17:00:00,24.7,25.651247004723565
09-05-2025 18:00:00,24.5,24.720746027785847
09-05-2025 19:00:00,24.3,24.151029030692328
09-05-2025 20:00:00,23.9,23.5121368301565
09-05-2025 21:00:00,23.5,21.59545935746519
09-05-2025 22:00:00,23.1,22.172741183348705
09-05-2025 23:00:00,22.76666667,22.173300276712755
10-05-2025 00:00:00,22.43333333,23.79505284251159
10-05-2025 01:00:00,22.1,22.54262784203757
10-05-2025 02:00:00,23.26666667,20.995627313003514
10-05-2025 03:00:00,24.43333333,24.850798268179922
10-05-2025 04:00:00,25.6,25.103960807785754
10-05-2025 05:00:00,28.43333333,27.561364248844654
10-05-2025 06:00:00,31.26666667,32.05459025839573
10-05-2025 07:00:00,34.1,35.42806986018487
10-05-2025 08:00:00,34.2,35.399617488273336
10-05-2025 09:00:00,34.3,33.21897185749147
10-05-2025 10:00:00,34.4,34.001691729429716
10-05-2025 11:00:00,34.26666667,34.69337974738672
10-05-2025 12:00:00,34.13333333,35.38997026562623
10-05-2025 13:00:00,34.0,33.38275736392314
10-05-2025 14:00:00,32.76666667,32.52751225159342
10-05-2025 15:00:00,31.53333333,30.10822099756283
10-05-2025 16:00:00,30.3,28.759120562782545
10-05-2025 17:00:00,29.7,30.746645543279477
10-05-2025 18:00:00,29.1,30.847024577432087
10-05-2025 19:00:00,28.5,28.40724101222902
10-05-2025 20:00:00,27.56666667,28.85935572204523
10-05-2025 21:00:00,26.63333333,27.099170505229832
10-05-2025 22:00:00,25.7,24.868996606102417
10-05-2025 23:00:00,25.7,26.16552748163942
11-05-2025 00:00:00,25.7,27.68120364094901
11-05-2025 01:00:00,25.7,25.65385111077787
11-05-2025 02:00:00,26.06666667,28.08214391889873
11-05-2025 03:00:00,26.43333333,23.05873960983451
11-05-2025 04:00:00,26.8,27.85872400544733
11-05-2025 05:00:00,29.33333333,29.445461983042147
11-05-2025 06:00:00,31.86666667,31.48150388237222
11-05-2025 07:00:00,34.4,34.518200560722796
11-05-2025 08:00:00,35.26666667,32.70640324317367
11-05-2025 09:00:00,36.13333333,35.85036558171178
11-05-2025 10:00:00,37.0,37.46001034197349
11-05-2025 11:00:00,36.66666667,38.57039843179198
11-05-2025 12:00:00,36.33333333,35.665729668405326
11-05-2025 13:00:00,36.0,34.95854851265566
11-05-2025 14:00:00,34.6,33.95366758938271
11-05-2025 15:00:00,33.2,34.37916442824958
11-05-2025 16:00:00,31.8,32.22347685979949
11-05-2025 17:00:00,31.0,30.31759564927329
11-05-2025 18:00:00,30.2,30.861159382966616
