Datetime,T2M,QSVM
08-05-2025 01:00:00,27.6,28.265669058300258
08-05-2025 02:00:00,28.13333333,27.72998247641973
08-05-2025 03:00:00,28.66666667,29.227566328695215
08-05-2025 04:00:00,29.2,32.06967982635366
08-05-2025 05:00:00,31.93333333,30.551571926922378
08-05-2025 06:00:00,34.66666667,33.30277453918433
08-05-2025 07:00:00,37.4,39.18390404184131
08-05-2025 08:00:00,38.4,38.802746905954876
08-05-2025 09:00:00,39.4,36.87929721516826
08-05-2025 10:00:00,40.4,40.23273253690608
08-05-2025 11:00:00,40.0,39.27708913880572
08-05-2025 12:00:00,39.6,37.37875184237196
08-05-2025 13:00:00,39.2,41.10399709084635
08-05-2025 14:00:00,37.36666667,33.215212108080365
08-05-2025 15:00:00,35.53333333,31.57588024993773
08-05-2025 16:00:00,33.7,31.520776317457898
08-05-2025 17:00:00,32.96666667,30.837110342884934
08-05-2025 18:00:00,32.23333333,32.093899082219004
08-05-2025 19:00:00,31.5,29.24682455144448
08-05-2025 20:00:00,30.76666667,28.881904736028588
08-05-2025 21:00:00,30.03333333,32.61549077319047
08-05-2025 22:00:00,29.3,29.057841747821655
08-05-2025 23:00:00,28.9,28.25893633129987
09-05-2025 00:00:00,28.5,25.120757298750338
09-05-2025 01:00:00,28.1,27.513177683098085
09-05-2025 02:00:00,29.03333333,28.520634610900544
09-05-2025 03:00:00,29.96666667,28.17715978826646
09-05-2025 04:00:00,30.9,31.66648068273471
09-05-2025 05:00:00,32.36666667,30.327234071868038
09-05-2025 06:00:00,33.83333333,33.161618446509955
09-05-2025 07:00:00,35.3,34.20608195186659
09-05-2025 08:00:00,34.4,38.18414751286121
09-05-2025 09:00:00,33.5,32.02100361708339
09-05-2025 10:00:00,32.6,29.502415245281494
09-05-2025 11:00:00,31.7,32.82735389560905
09-05-2025 12:00:00,30.8,27.78970838750046
09-05-2025 13:00:00,29.9,30.27046474962175
09-05-2025 14:00:00,28.23333333,23.857076096656282
09-05-2025 15:00:00,26.56666667,22.76659472810782
09-05-2025 16:00:00,24.9,25.1424555384918
09-05-2025 17:00:00,24.7,26.178312597573946
09-05-2025 18:00:00,24.5,24.7746607742834
09-05-2025 19:00:00,24.3,24.215691551965843
09-05-2025 20:00:00,23.9,23.31597929255642
