Datetime,T2M,LSTM
12-05-2025 22:00:00,26.2,26.29074993
12-05-2025 23:00:00,25.66666667,24.98880529
13-05-2025 00:00:00,25.13333333,25.8253987
13-05-2025 01:00:00,24.6,25.40314091
13-05-2025 02:00:00,26.33333333,26.0592859
13-05-2025 03:00:00,28.06666667,27.89328126
13-05-2025 04:00:00,29.8,29.92784289
13-05-2025 05:00:00,31.6,31.74957362
13-05-2025 06:00:00,33.4,33.69450995
13-05-2025 07:00:00,35.2,36.0989908
13-05-2025 08:00:00,36.53333333,36.45420012
13-05-2025 09:00:00,37.86666667,37.50965729
13-05-2025 10:00:00,39.2,38.58314969
13-05-2025 11:00:00,39,38.67311815
13-05-2025 12:00:00,38.8,38.78518517
13-05-2025 13:00:00,38.6,39.40255067
13-05-2025 14:00:00,34.46666667,34.23518386
13-05-2025 15:00:00,30.33333333,30.43341434
13-05-2025 16:00:00,26.2,26.19265546
13-05-2025 17:00:00,26.4,26.93146563
13-05-2025 18:00:00,26.6,27.73007854
13-05-2025 19:00:00,26.8,26.56258827
13-05-2025 20:00:00,26.53333333,26.31444936
13-05-2025 21:00:00,26.26666667,26.73362961
13-05-2025 22:00:00,26,26.30495114
13-05-2025 23:00:00,25.66666667,26.49253929
14-05-2025 00:00:00,25.33333333,25.59447395
14-05-2025 01:00:00,25,24.83931969
14-05-2025 02:00:00,25.86666667,26.13081554
14-05-2025 03:00:00,26.73333333,27.22916064
14-05-2025 04:00:00,27.6,27.96693079
14-05-2025 05:00:00,30.5,30.72685984
14-05-2025 06:00:00,33.4,33.87703142
14-05-2025 07:00:00,36.3,36.82292489
14-05-2025 08:00:00,36.9,37.51812029
14-05-2025 09:00:00,37.5,37.79011188
14-05-2025 10:00:00,38.1,38.02526252
14-05-2025 11:00:00,38.06666667,38.13227903
14-05-2025 12:00:00,38.03333333,38.57290054
14-05-2025 13:00:00,38,37.63465526
14-05-2025 14:00:00,36.36666667,36.53154239
14-05-2025 15:00:00,34.73333333,34.55742687
14-05-2025 16:00:00,33.1,33.11285508
14-05-2025 17:00:00,32.03333333,32.60507438
14-05-2025 18:00:00,30.96666667,31.05212877
14-05-2025 19:00:00,29.9,29.92076706
14-05-2025 20:00:00,28.83333333,28.22518718
14-05-2025 21:00:00,27.76666667,28.10040141
14-05-2025 22:00:00,26.7,26.9886693
14-05-2025 23:00:00,26.03333333,27.00077025
15-05-2025 00:00:00,25.36666667,25.22902406
15-05-2025 01:00:00,24.7,24.79800701
15-05-2025 02:00:00,26.43333333,26.5448611
15-05-2025 03:00:00,28.16666667,28.87212522
15-05-2025 04:00:00,29.9,29.85738254
15-05-2025 05:00:00,31.96666667,32.09144889
15-05-2025 06:00:00,34.03333333,34.30519291
15-05-2025 07:00:00,36.1,36.18345414
15-05-2025 08:00:00,37.23333333,37.03368215
15-05-2025 09:00:00,38.36666667,38.45346635
15-05-2025 10:00:00,39.5,39.98014272
15-05-2025 11:00:00,39.1,38.6409284
15-05-2025 12:00:00,38.7,38.75946585
15-05-2025 13:00:00,38.3,37.98689645
15-05-2025 14:00:00,36.5,37.0344411
15-05-2025 15:00:00,34.7,34.01881011
15-05-2025 16:00:00,32.9,32.65004255
15-05-2025 17:00:00,31.23333333,31.40202761
15-05-2025 18:00:00,29.56666667,30.2667903
15-05-2025 19:00:00,27.9,27.87059559
15-05-2025 20:00:00,27.23333333,26.98504055
15-05-2025 21:00:00,26.56666667,27.40794569
15-05-2025 22:00:00,25.9,25.2524285
15-05-2025 23:00:00,25.5,24.51666408
16-05-2025 00:00:00,25.1,25.29678044
16-05-2025 01:00:00,24.7,24.47547453
16-05-2025 02:00:00,26.4,25.9432908
16-05-2025 03:00:00,28.1,28.41678663
16-05-2025 04:00:00,29.8,29.90903099
16-05-2025 05:00:00,32.73333333,32.4810697
16-05-2025 06:00:00,35.66666667,35.09409714
16-05-2025 07:00:00,38.6,38.99017478
16-05-2025 08:00:00,39.2,39.49077881
16-05-2025 09:00:00,39.8,39.75564721
16-05-2025 10:00:00,40.4,41.22584117
16-05-2025 11:00:00,39.46666667,38.98811021
16-05-2025 12:00:00,38.53333333,37.85109773
16-05-2025 13:00:00,37.6,37.2905693
16-05-2025 14:00:00,35.66666667,35.64627998
16-05-2025 15:00:00,33.73333333,33.84215804
16-05-2025 16:00:00,31.8,31.69211596
16-05-2025 17:00:00,30.46666667,30.62411063
16-05-2025 18:00:00,29.13333333,28.57362788
16-05-2025 19:00:00,27.8,28.44567116
16-05-2025 20:00:00,27.2,27.16326088
16-05-2025 21:00:00,26.6,27.09966989
16-05-2025 22:00:00,26,26.15327143
16-05-2025 23:00:00,25.4,25.60426625
17-05-2025 00:00:00,24.8,25.05480767
17-05-2025 01:00:00,24.2,24.40022135
17-05-2025 02:00:00,25.93333333,26.22076769
17-05-2025 03:00:00,27.66666667,28.26108175
17-05-2025 04:00:00,29.4,29.48788694
17-05-2025 05:00:00,32.33333333,32.65040945
17-05-2025 06:00:00,35.26666667,35.22653565
17-05-2025 07:00:00,38.2,38.84404
17-05-2025 08:00:00,38.93333333,38.6308415
17-05-2025 09:00:00,39.66666667,40.47207172
17-05-2025 10:00:00,40.4,40.38204082
17-05-2025 11:00:00,40.06666667,39.42680459
17-05-2025 12:00:00,39.73333333,39.79062337
17-05-2025 13:00:00,39.4,39.09542444
17-05-2025 14:00:00,37.46666667,37.84261389
17-05-2025 15:00:00,35.53333333,35.24147101
17-05-2025 16:00:00,33.6,33.4004607
17-05-2025 17:00:00,31.26666667,30.42163837
17-05-2025 18:00:00,28.93333333,28.73105579
17-05-2025 19:00:00,26.6,25.51600821
17-05-2025 20:00:00,26,25.29165712
17-05-2025 21:00:00,25.4,25.74006777
17-05-2025 22:00:00,24.8,25.15142051
17-05-2025 23:00:00,24.33333333,24.52360374
18-05-2025 00:00:00,23.86666667,23.43422179
18-05-2025 01:00:00,23.4,23.37866283
18-05-2025 02:00:00,25.66666667,25.66505557
18-05-2025 03:00:00,27.93333333,27.41529689
18-05-2025 04:00:00,30.2,30.87234016
18-05-2025 05:00:00,33.06666667,33.45903501
18-05-2025 06:00:00,35.93333333,35.83451515
18-05-2025 07:00:00,38.8,38.81202371
18-05-2025 08:00:00,39.26666667,39.35985829
18-05-2025 09:00:00,39.73333333,38.82024174
18-05-2025 10:00:00,40.2,40.08945891
18-05-2025 11:00:00,40.06666667,39.76167404
18-05-2025 12:00:00,39.93333333,39.48539524
18-05-2025 13:00:00,39.8,39.67428813
18-05-2025 14:00:00,37.6,38.40394986
18-05-2025 15:00:00,35.4,35.68659364
18-05-2025 16:00:00,33.2,32.94456099
18-05-2025 17:00:00,31.26666667,31.52273347
18-05-2025 18:00:00,29.33333333,29.95914411
18-05-2025 19:00:00,27.4,27.81350875
18-05-2025 20:00:00,26.66666667,26.69333418
18-05-2025 21:00:00,25.93333333,25.64401441
18-05-2025 22:00:00,25.2,25.51225496
18-05-2025 23:00:00,24.66666667,24.84263868
19-05-2025 00:00:00,24.13333333,24.53367591
19-05-2025 01:00:00,23.6,23.88405747
19-05-2025 02:00:00,25.46666667,25.93604091
19-05-2025 03:00:00,27.33333333,27.09396887
19-05-2025 04:00:00,29.2,29.78915654
19-05-2025 05:00:00,31.93333333,32.02170256
19-05-2025 06:00:00,34.66666667,35.59475155
19-05-2025 07:00:00,37.4,37.09178584
19-05-2025 08:00:00,38.06666667,38.84301328
19-05-2025 09:00:00,38.73333333,38.82184172
19-05-2025 10:00:00,39.4,39.10867701
19-05-2025 11:00:00,39.2,38.98359968
19-05-2025 12:00:00,39,38.85673633
19-05-2025 13:00:00,38.8,38.98969278
19-05-2025 14:00:00,36.73333333,36.96715247
19-05-2025 15:00:00,34.66666667,34.41010023
19-05-2025 16:00:00,32.6,32.5891083
19-05-2025 17:00:00,32.13333333,33.09138576
19-05-2025 18:00:00,31.66666667,32.43924746
19-05-2025 19:00:00,31.2,31.39512988
19-05-2025 20:00:00,30.6,30.61699567
19-05-2025 21:00:00,30,30.05367964
19-05-2025 22:00:00,29.4,29.67437358
19-05-2025 23:00:00,28.2,27.74259326
20-05-2025 00:00:00,27,26.88489771
20-05-2025 01:00:00,25.8,25.05378652
20-05-2025 02:00:00,27.36666667,27.54520468
20-05-2025 03:00:00,28.93333333,29.22276815
20-05-2025 04:00:00,30.5,30.28391244
20-05-2025 05:00:00,32.96666667,33.67057495
20-05-2025 06:00:00,35.43333333,34.88515426
20-05-2025 07:00:00,37.9,37.24511164
20-05-2025 08:00:00,39.1,39.2003779
20-05-2025 09:00:00,40.3,40.7682766
20-05-2025 10:00:00,41.5,42.25307536
20-05-2025 11:00:00,41.43333333,41.22811405
20-05-2025 12:00:00,41.36666667,41.8490674
20-05-2025 13:00:00,41.3,41.28277849
20-05-2025 14:00:00,38.7,38.62279872
20-05-2025 15:00:00,36.1,36.49518474
20-05-2025 16:00:00,33.5,33.79172766
20-05-2025 17:00:00,31.9,31.195016
20-05-2025 18:00:00,30.3,30.96032892
20-05-2025 19:00:00,28.7,29.31719562
20-05-2025 20:00:00,28.1,27.82023986
20-05-2025 21:00:00,27.5,27.67700872
20-05-2025 22:00:00,26.9,27.12093702
20-05-2025 23:00:00,26.16666667,26.28324352
21-05-2025 00:00:00,25.43333333,25.18722938
21-05-2025 01:00:00,24.7,24.3996409
21-05-2025 02:00:00,26.4,26.38857187
21-05-2025 03:00:00,28.1,28.62446036
21-05-2025 04:00:00,29.8,30.04310538
21-05-2025 05:00:00,33.73333333,33.56758956
21-05-2025 06:00:00,37.66666667,38.01178083
21-05-2025 07:00:00,41.6,40.32609301
21-05-2025 08:00:00,42.2,42.71374364
21-05-2025 09:00:00,42.8,42.02197635
21-05-2025 10:00:00,43.4,43.23791148
21-05-2025 11:00:00,43.33333333,42.83260173
21-05-2025 12:00:00,43.26666667,42.68766751
21-05-2025 13:00:00,43.2,43.71913752
21-05-2025 14:00:00,40.4,40.19083766
21-05-2025 15:00:00,37.6,37.75496125
21-05-2025 16:00:00,34.8,34.77901648
21-05-2025 17:00:00,33.4,33.61333914
21-05-2025 18:00:00,32,32.03435579
21-05-2025 19:00:00,30.6,30.02622843
21-05-2025 20:00:00,29.66666667,30.11221074
21-05-2025 21:00:00,28.73333333,28.51251867
21-05-2025 22:00:00,27.8,27.10387541
21-05-2025 23:00:00,27.53333333,27.34187441
22-05-2025 00:00:00,27.26666667,27.93782685
22-05-2025 01:00:00,27,27.38023072
22-05-2025 02:00:00,29.06666667,28.9107447
22-05-2025 03:00:00,31.13333333,30.97714054
22-05-2025 04:00:00,33.2,33.05616043
22-05-2025 05:00:00,35.6,36.52874993
22-05-2025 06:00:00,38,38.17080673
22-05-2025 07:00:00,40.4,40.59232047
22-05-2025 08:00:00,41.66666667,42.12742344
22-05-2025 09:00:00,42.93333333,43.04012309
22-05-2025 10:00:00,44.2,44.08415283
22-05-2025 11:00:00,43.86666667,43.77885635
22-05-2025 12:00:00,43.53333333,43.50131227
22-05-2025 13:00:00,43.2,43.18335371
22-05-2025 14:00:00,40.6,40.92540582
22-05-2025 15:00:00,38,38.02323091
22-05-2025 16:00:00,35.4,35.7276466
22-05-2025 17:00:00,35.66666667,35.63056912
22-05-2025 18:00:00,35.93333333,35.96850006
22-05-2025 19:00:00,36.2,35.30637749
22-05-2025 20:00:00,35.46666667,35.87646086
22-05-2025 21:00:00,34.73333333,34.88828769
22-05-2025 22:00:00,34,34.44632369
22-05-2025 23:00:00,32.66666667,31.37142189
23-05-2025 00:00:00,31.33333333,32.26728289
23-05-2025 01:00:00,30,29.93757362
23-05-2025 02:00:00,31.66666667,32.16226109
23-05-2025 03:00:00,33.33333333,32.86827326
23-05-2025 04:00:00,35,35.27404082
23-05-2025 05:00:00,37.53333333,37.06223157
23-05-2025 06:00:00,40.06666667,39.78770871
23-05-2025 07:00:00,42.6,43.45598084
23-05-2025 08:00:00,43.06666667,42.98139091
23-05-2025 09:00:00,43.53333333,43.63057227
23-05-2025 10:00:00,44,44.38910612
23-05-2025 11:00:00,43.53333333,43.75500901
23-05-2025 12:00:00,43.06666667,43.13393605
23-05-2025 13:00:00,42.6,42.76321552
23-05-2025 14:00:00,40.46666667,41.5415068
23-05-2025 15:00:00,38.33333333,38.30756542
23-05-2025 16:00:00,36.2,36.28993423
23-05-2025 17:00:00,34.66666667,35.1365336
23-05-2025 18:00:00,33.13333333,33.62773956
23-05-2025 19:00:00,31.6,32.13085609
23-05-2025 20:00:00,30.86666667,31.15231551
23-05-2025 21:00:00,30.13333333,29.62216599
23-05-2025 22:00:00,29.4,30.13049279
23-05-2025 23:00:00,29.2,28.68733876
24-05-2025 00:00:00,29,29.13534269
24-05-2025 01:00:00,28.8,28.46267759
24-05-2025 02:00:00,30.26666667,30.23798313
24-05-2025 03:00:00,31.73333333,31.88036035
24-05-2025 04:00:00,33.2,33.34371532
24-05-2025 05:00:00,35.53333333,35.72202203
24-05-2025 06:00:00,37.86666667,38.58834029
24-05-2025 07:00:00,40.2,40.40282671
24-05-2025 08:00:00,41.4,41.29080983
24-05-2025 09:00:00,42.6,43.03115289
24-05-2025 10:00:00,43.8,44.33194737
24-05-2025 11:00:00,43.6,43.0509971
24-05-2025 12:00:00,43.4,43.66716543
24-05-2025 13:00:00,43.2,43.51357398
24-05-2025 14:00:00,41.06666667,40.93359223
24-05-2025 15:00:00,38.93333333,39.54856812
24-05-2025 16:00:00,36.8,36.7328931
24-05-2025 17:00:00,35.2,35.2561595
24-05-2025 18:00:00,33.6,33.52259993
24-05-2025 19:00:00,32,32.00696716
24-05-2025 20:00:00,31.46666667,30.97639755
24-05-2025 21:00:00,30.93333333,30.289323
24-05-2025 22:00:00,30.4,31.11308434
24-05-2025 23:00:00,30.06666667,29.68789404
25-05-2025 00:00:00,29.73333333,29.28996919
25-05-2025 01:00:00,29.4,28.43697466
25-05-2025 02:00:00,31.33333333,31.04758095
25-05-2025 03:00:00,33.26666667,32.67496293
25-05-2025 04:00:00,35.2,35.9343315
25-05-2025 05:00:00,37.46666667,37.9182706
25-05-2025 06:00:00,39.73333333,39.42558314
25-05-2025 07:00:00,42,43.00731992
25-05-2025 08:00:00,43.2,43.63905887
25-05-2025 09:00:00,44.4,44.25473099
25-05-2025 10:00:00,45.6,44.48223178
25-05-2025 11:00:00,45.06666667,46.09120733
25-05-2025 12:00:00,44.53333333,43.91189763
25-05-2025 13:00:00,44,43.26415531
25-05-2025 14:00:00,41.53333333,41.99064073
25-05-2025 15:00:00,39.06666667,40.15775712
25-05-2025 16:00:00,36.6,37.21906562
25-05-2025 17:00:00,36,36.25218783
25-05-2025 18:00:00,35.4,35.66598223
25-05-2025 19:00:00,34.8,35.18165904
25-05-2025 20:00:00,33.93333333,34.27273651
25-05-2025 21:00:00,33.06666667,33.1924193
25-05-2025 22:00:00,32.2,32.24660015
25-05-2025 23:00:00,31.66666667,31.63867417
26-05-2025 00:00:00,31.13333333,30.79615012
26-05-2025 01:00:00,30.6,30.47447829
26-05-2025 02:00:00,32.23333333,31.47622003
26-05-2025 03:00:00,33.86666667,33.82268785
26-05-2025 04:00:00,35.5,35.05788862
26-05-2025 05:00:00,37.63333333,37.13979318
26-05-2025 06:00:00,39.76666667,39.84711778
26-05-2025 07:00:00,41.9,42.52252235
26-05-2025 08:00:00,43.03333333,43.444017
26-05-2025 09:00:00,44.16666667,43.46431745
26-05-2025 10:00:00,45.3,44.85742484
26-05-2025 11:00:00,44.96666667,45.38739234
26-05-2025 12:00:00,44.63333333,44.19395161
26-05-2025 13:00:00,44.3,44.199541
26-05-2025 14:00:00,41.76666667,42.01265745
26-05-2025 15:00:00,39.23333333,38.80027652
26-05-2025 16:00:00,36.7,36.74712536
