Datetime,T2M,QGRU
12-05-2025 22:00:00,26.2,25.47630086
12-05-2025 23:00:00,25.66666667,25.22952382
13-05-2025 00:00:00,25.13333333,24.27005756
13-05-2025 01:00:00,24.6,24.7110827
13-05-2025 02:00:00,26.33333333,27.80454225
13-05-2025 03:00:00,28.06666667,28.35922739
13-05-2025 04:00:00,29.8,29.57148418
13-05-2025 05:00:00,31.6,31.33575366
13-05-2025 06:00:00,33.4,31.98447052
13-05-2025 07:00:00,35.2,35.99968992
13-05-2025 08:00:00,36.53333333,36.46284875
13-05-2025 09:00:00,37.86666667,37.70323516
13-05-2025 10:00:00,39.2,42.09148188
13-05-2025 11:00:00,39,39.27053226
13-05-2025 12:00:00,38.8,38.11922425
13-05-2025 13:00:00,38.6,38.21391678
13-05-2025 14:00:00,34.46666667,35.50662849
13-05-2025 15:00:00,30.33333333,30.43590405
13-05-2025 16:00:00,26.2,24.8975839
13-05-2025 17:00:00,26.4,27.2323972
13-05-2025 18:00:00,26.6,25.9949698
13-05-2025 19:00:00,26.8,28.49634328
13-05-2025 20:00:00,26.53333333,27.51135845
13-05-2025 21:00:00,26.26666667,25.86159947
13-05-2025 22:00:00,26,27.16000965
13-05-2025 23:00:00,25.66666667,25.72811245
14-05-2025 00:00:00,25.33333333,26.10555274
14-05-2025 01:00:00,25,25.43894423
14-05-2025 02:00:00,25.86666667,25.10025812
14-05-2025 03:00:00,26.73333333,26.15057417
14-05-2025 04:00:00,27.6,28.53266919
14-05-2025 05:00:00,30.5,30.19684804
14-05-2025 06:00:00,33.4,33.03448077
14-05-2025 07:00:00,36.3,35.43509972
14-05-2025 08:00:00,36.9,37.28358527
14-05-2025 09:00:00,37.5,39.36769575
14-05-2025 10:00:00,38.1,37.13330783
14-05-2025 11:00:00,38.06666667,38.08859832
14-05-2025 12:00:00,38.03333333,39.31215343
14-05-2025 13:00:00,38,37.92788165
14-05-2025 14:00:00,36.36666667,36.77630675
14-05-2025 15:00:00,34.73333333,33.77129507
14-05-2025 16:00:00,33.1,33.48784857
14-05-2025 17:00:00,32.03333333,31.86386699
14-05-2025 18:00:00,30.96666667,31.85928315
14-05-2025 19:00:00,29.9,30.9752238
14-05-2025 20:00:00,28.83333333,31.17828294
14-05-2025 21:00:00,27.76666667,28.29154683
14-05-2025 22:00:00,26.7,26.99502111
14-05-2025 23:00:00,26.03333333,26.2093558
15-05-2025 00:00:00,25.36666667,25.04686099
15-05-2025 01:00:00,24.7,25.00651016
15-05-2025 02:00:00,26.43333333,26.16583598
15-05-2025 03:00:00,28.16666667,28.31921457
15-05-2025 04:00:00,29.9,31.09313531
15-05-2025 05:00:00,31.96666667,31.05520361
15-05-2025 06:00:00,34.03333333,35.06553727
15-05-2025 07:00:00,36.1,37.29269842
15-05-2025 08:00:00,37.23333333,37.12641773
15-05-2025 09:00:00,38.36666667,36.44524534
15-05-2025 10:00:00,39.5,38.94959378
15-05-2025 11:00:00,39.1,40.27447851
15-05-2025 12:00:00,38.7,38.67929209
15-05-2025 13:00:00,38.3,37.39509334
15-05-2025 14:00:00,36.5,36.04290687
15-05-2025 15:00:00,34.7,35.46121381
15-05-2025 16:00:00,32.9,33.3950883
15-05-2025 17:00:00,31.23333333,31.01697111
15-05-2025 18:00:00,29.56666667,29.23449304
15-05-2025 19:00:00,27.9,27.54524791
15-05-2025 20:00:00,27.23333333,26.39805538
15-05-2025 21:00:00,26.56666667,28.02945157
15-05-2025 22:00:00,25.9,25.6081264
15-05-2025 23:00:00,25.5,26.60218392
16-05-2025 00:00:00,25.1,26.47761028
16-05-2025 01:00:00,24.7,25.60400897
16-05-2025 02:00:00,26.4,26.00915118
16-05-2025 03:00:00,28.1,28.46559315
16-05-2025 04:00:00,29.8,29.77808995
16-05-2025 05:00:00,32.73333333,31.91499649
16-05-2025 06:00:00,35.66666667,35.96038649
16-05-2025 07:00:00,38.6,37.53233406
16-05-2025 08:00:00,39.2,40.27548943
16-05-2025 09:00:00,39.8,39.37927114
16-05-2025 10:00:00,40.4,40.58215782
16-05-2025 11:00:00,39.46666667,39.72319475
16-05-2025 12:00:00,38.53333333,38.2988849
16-05-2025 13:00:00,37.6,38.13127383
16-05-2025 14:00:00,35.66666667,35.23662312
16-05-2025 15:00:00,33.73333333,34.52232659
16-05-2025 16:00:00,31.8,30.58116356
16-05-2025 17:00:00,30.46666667,30.58110825
16-05-2025 18:00:00,29.13333333,30.88910821
16-05-2025 19:00:00,27.8,26.89416146
16-05-2025 20:00:00,27.2,26.58627583
16-05-2025 21:00:00,26.6,27.06536335
16-05-2025 22:00:00,26,26.16261822
16-05-2025 23:00:00,25.4,25.71750906
17-05-2025 00:00:00,24.8,25.24297779
17-05-2025 01:00:00,24.2,24.77476474
17-05-2025 02:00:00,25.93333333,26.93820928
17-05-2025 03:00:00,27.66666667,28.03777325
17-05-2025 04:00:00,29.4,29.1815319
17-05-2025 05:00:00,32.33333333,32.94237472
17-05-2025 06:00:00,35.26666667,36.98708293
17-05-2025 07:00:00,38.2,38.07989503
17-05-2025 08:00:00,38.93333333,38.05085951
17-05-2025 09:00:00,39.66666667,40.66917085
17-05-2025 10:00:00,40.4,40.29099022
17-05-2025 11:00:00,40.06666667,38.09923072
17-05-2025 12:00:00,39.73333333,40.5007063
17-05-2025 13:00:00,39.4,38.91523971
17-05-2025 14:00:00,37.46666667,37.3846853
17-05-2025 15:00:00,35.53333333,35.83395431
17-05-2025 16:00:00,33.6,33.7725048
17-05-2025 17:00:00,31.26666667,31.90910261
17-05-2025 18:00:00,28.93333333,28.53898365
17-05-2025 19:00:00,26.6,27.06463706
17-05-2025 20:00:00,26,25.76497049
17-05-2025 21:00:00,25.4,26.06902134
17-05-2025 22:00:00,24.8,25.35723896
17-05-2025 23:00:00,24.33333333,23.48625756
18-05-2025 00:00:00,23.86666667,24.8500653
18-05-2025 01:00:00,23.4,22.91466446
18-05-2025 02:00:00,25.66666667,26.39839413
18-05-2025 03:00:00,27.93333333,28.26592614
18-05-2025 04:00:00,30.2,31.86454611
18-05-2025 05:00:00,33.06666667,32.86430962
18-05-2025 06:00:00,35.93333333,35.61701352
