Datetime,T2M,SVM
12-05-2025 13:00:00,34.6,36.2263125621595
12-05-2025 14:00:00,33.13333333,34.0878057208696
12-05-2025 15:00:00,31.66666667,28.1842946071425
12-05-2025 16:00:00,30.2,29.0119569565705
12-05-2025 17:00:00,29.26666667,30.3840783348548
12-05-2025 18:00:00,28.33333333,28.5127766343394
12-05-2025 19:00:00,27.4,26.1886756269875
12-05-2025 20:00:00,27,26.2503267753206
12-05-2025 21:00:00,26.6,24.344510414017
12-05-2025 22:00:00,26.2,26.0954353160598
12-05-2025 23:00:00,25.66666667,28.2823900289575
13-05-2025 00:00:00,25.13333333,26.0857433619306
13-05-2025 01:00:00,24.6,27.1917363474577
13-05-2025 02:00:00,26.33333333,27.3773996467144
13-05-2025 03:00:00,28.06666667,29.2823966241522
13-05-2025 04:00:00,29.8,32.1357614029632
13-05-2025 05:00:00,31.6,32.0463839083001
13-05-2025 06:00:00,33.4,33.1784696456778
13-05-2025 07:00:00,35.2,36.4218568513906
13-05-2025 08:00:00,36.53333333,38.2535402969387
13-05-2025 09:00:00,37.86666667,37.2987648461295
13-05-2025 10:00:00,39.2,38.3462279479716
13-05-2025 11:00:00,39,39.1642966732451
13-05-2025 12:00:00,38.8,39.7838427272649
13-05-2025 13:00:00,38.6,39.5443140636118
13-05-2025 14:00:00,34.46666667,32.7815688405569
13-05-2025 15:00:00,30.33333333,32.5951761313207
13-05-2025 16:00:00,26.2,25.4413634247125
13-05-2025 17:00:00,26.4,26.08637086614
13-05-2025 18:00:00,26.6,25.5319649579498
13-05-2025 19:00:00,26.8,29.9927057348884
13-05-2025 20:00:00,26.53333333,26.8197552097144
13-05-2025 21:00:00,26.26666667,25.2597793758516
13-05-2025 22:00:00,26,27.0222081296152
13-05-2025 23:00:00,25.66666667,26.5767203968869
14-05-2025 00:00:00,25.33333333,25.1112117202115
14-05-2025 01:00:00,25,25.9946192758071
14-05-2025 02:00:00,25.86666667,24.8901680530747
14-05-2025 03:00:00,26.73333333,26.1501045617704
