Datetime,T2M,ANN_SE
13-05-2025 15:00:00,30.33333333,28.86478972
13-05-2025 16:00:00,26.2,25.66238101
13-05-2025 17:00:00,26.4,26.90584569
13-05-2025 18:00:00,26.6,27.92806944
13-05-2025 19:00:00,26.8,25.66550186
13-05-2025 20:00:00,26.53333333,26.1588012
13-05-2025 21:00:00,26.26666667,26.1116311
13-05-2025 22:00:00,26,24.56974168
13-05-2025 23:00:00,25.66666667,26.27261933
14-05-2025 00:00:00,25.33333333,24.591464
14-05-2025 01:00:00,25,24.79978447
14-05-2025 02:00:00,25.86666667,25.40355637
14-05-2025 03:00:00,26.73333333,25.92450205
14-05-2025 04:00:00,27.6,27.59278104
14-05-2025 05:00:00,30.5,30.27906593
14-05-2025 06:00:00,33.4,33.01895906
14-05-2025 07:00:00,36.3,35.55354896
14-05-2025 08:00:00,36.9,37.22741536
14-05-2025 09:00:00,37.5,39.19445347
14-05-2025 10:00:00,38.1,38.24334176
14-05-2025 11:00:00,38.06666667,39.0873841
14-05-2025 12:00:00,38.03333333,36.60877977
14-05-2025 13:00:00,38,38.16165737
14-05-2025 14:00:00,36.36666667,35.24219876
14-05-2025 15:00:00,34.73333333,33.21993563
14-05-2025 16:00:00,33.1,32.34236976
14-05-2025 17:00:00,32.03333333,33.25466671
14-05-2025 18:00:00,30.96666667,31.94014321
14-05-2025 19:00:00,29.9,30.14900574
14-05-2025 20:00:00,28.83333333,27.26278261
14-05-2025 21:00:00,27.76666667,27.56553885
14-05-2025 22:00:00,26.7,27.00915051
14-05-2025 23:00:00,26.03333333,26.21320444
15-05-2025 00:00:00,25.36666667,23.47734046
15-05-2025 01:00:00,24.7,23.78769568
15-05-2025 02:00:00,26.43333333,26.36767316
15-05-2025 03:00:00,28.16666667,28.71620132
15-05-2025 04:00:00,29.9,27.64963863
15-05-2025 05:00:00,31.96666667,31.80053903
15-05-2025 06:00:00,34.03333333,34.1799147
15-05-2025 07:00:00,36.1,36.97059322
15-05-2025 08:00:00,37.23333333,37.94330109
15-05-2025 09:00:00,38.36666667,38.96362463
15-05-2025 10:00:00,39.5,38.6803049
15-05-2025 11:00:00,39.1,37.1448796
15-05-2025 12:00:00,38.7,38.29724077
15-05-2025 13:00:00,38.3,39.3263672
15-05-2025 14:00:00,36.5,37.92786599
15-05-2025 15:00:00,34.7,35.42809617
15-05-2025 16:00:00,32.9,33.33994343
15-05-2025 17:00:00,31.23333333,31.62234821
15-05-2025 18:00:00,29.56666667,28.99681453
15-05-2025 19:00:00,27.9,27.76672786
15-05-2025 20:00:00,27.23333333,28.94362066
15-05-2025 21:00:00,26.56666667,25.60083212
15-05-2025 22:00:00,25.9,27.55465588
15-05-2025 23:00:00,25.5,25.17001934
16-05-2025 00:00:00,25.1,26.45816376
16-05-2025 01:00:00,24.7,23.25844359
16-05-2025 02:00:00,26.4,27.00037315
16-05-2025 03:00:00,28.1,27.34503527
16-05-2025 04:00:00,29.8,28.34978268
16-05-2025 05:00:00,32.73333333,32.95726409
16-05-2025 06:00:00,35.66666667,36.70106744
16-05-2025 07:00:00,38.6,37.73419267
16-05-2025 08:00:00,39.2,37.66396573
16-05-2025 09:00:00,39.8,39.70588712
16-05-2025 10:00:00,40.4,40.31040545
16-05-2025 11:00:00,39.46666667,40.02852709
16-05-2025 12:00:00,38.53333333,39.50637821
16-05-2025 13:00:00,37.6,37.53911756
16-05-2025 14:00:00,35.66666667,37.56799178
16-05-2025 15:00:00,33.73333333,33.96310557
16-05-2025 16:00:00,31.8,31.44501846
16-05-2025 17:00:00,30.46666667,28.81530153
16-05-2025 18:00:00,29.13333333,28.86418741
16-05-2025 19:00:00,27.8,27.45530595
16-05-2025 20:00:00,27.2,28.1840196
16-05-2025 21:00:00,26.6,27.07390469
16-05-2025 22:00:00,26,24.79150627
16-05-2025 23:00:00,25.4,25.57650822
17-05-2025 00:00:00,24.8,25.48811469
17-05-2025 01:00:00,24.2,25.76576621
17-05-2025 02:00:00,25.93333333,26.84275428
17-05-2025 03:00:00,27.66666667,28.44630249
17-05-2025 04:00:00,29.4,29.46156982
17-05-2025 05:00:00,32.33333333,32.73123473
17-05-2025 06:00:00,35.26666667,36.54702819
17-05-2025 07:00:00,38.2,36.83430956
17-05-2025 08:00:00,38.93333333,38.57526457
17-05-2025 09:00:00,39.66666667,38.87501928
17-05-2025 10:00:00,40.4,40.78851633
17-05-2025 11:00:00,40.06666667,41.32726928
17-05-2025 12:00:00,39.73333333,39.12161672
17-05-2025 13:00:00,39.4,36.95066688
17-05-2025 14:00:00,37.46666667,37.0442661
17-05-2025 15:00:00,35.53333333,36.46936537
17-05-2025 16:00:00,33.6,34.15090671
17-05-2025 17:00:00,31.26666667,31.70542701
17-05-2025 18:00:00,28.93333333,28.64642557
17-05-2025 19:00:00,26.6,25.2893835
