date,Actual,y_pred
30-08-2024,301.339660644531,301.18587007801
31-08-2024,300.759796142578,301.331384370031
01-09-2024,301.231079101563,300.727182381527
02-09-2024,301.191925048828,301.134275946302
03-09-2024,301.372802734375,301.228130360605
04-09-2024,300.612884521484,301.347195182563
05-09-2024,299.900329589844,300.634365808309
06-09-2024,300.543884277344,300.26263287674
07-09-2024,300.86083984375,300.589132250328
08-09-2024,300.735961914063,300.801023992434
09-09-2024,300.776824951172,300.889419117372
10-09-2024,300.439208984375,300.782778144181
11-09-2024,300.289947509766,300.693452016339
12-09-2024,300.682830810547,300.473060508836
13-09-2024,301.120422363281,300.47665786942
14-09-2024,300.382629394531,300.999358026089
15-09-2024,300.357604980469,300.575131922887
16-09-2024,299.637603759766,300.589790714626
17-09-2024,299.484619140625,300.052963458333
18-09-2024,299.571014404297,299.720370787109
19-09-2024,300.80712890625,299.624500197265
20-09-2024,300.775360107422,300.367214259277
21-09-2024,300.117889404297,300.61954246936
22-09-2024,300.1474609375,300.213230765594
23-09-2024,301.150604248047,300.368864724586
24-09-2024,299.97216796875,300.853502486311
25-09-2024,300.617553710938,299.80186392528
26-09-2024,299.590972900391,300.343750238882
27-09-2024,300.236511230469,299.953413570275
28-09-2024,300.699676513672,300.251330319308
29-09-2024,300.638122558594,300.585896115946
30-09-2024,300.539276123047,300.664303068405
01-10-2024,300.237915039063,300.636131048862
02-10-2024,301.193298339844,300.491109517115
03-10-2024,301.524353027344,301.206908187641
04-10-2024,301.289855957031,301.478036975692
05-10-2024,300.584167480469,301.289082541339
06-10-2024,300.656036376953,300.427331315184
07-10-2024,300.348999023438,300.451264172423
08-10-2024,301.149169921875,300.473145394942
09-10-2024,301.693756103516,301.063672522769
10-10-2024,299.856079101563,301.571475400378
11-10-2024,300.140319824219,300.143601667471
12-10-2024,300.755615234375,300.297510210564
13-10-2024,300.867156982422,300.601770353236
14-10-2024,300.167816162109,300.877803289829
15-10-2024,300.349975585938,300.539449574305
16-10-2024,301.054138183594,300.385741965885
17-10-2024,301.065612792969,300.904288774219
18-10-2024,301.478698730469,301.100210599219
19-10-2024,300.355041503906,301.340279409375
20-10-2024,300.069488525391,300.692385460352
21-10-2024,300.126159667969,299.994650728564
22-10-2024,300.767456054688,300.012875863806
23-10-2024,301.260162353516,300.678972083401
24-10-2024,300.9287109375,301.250181516164
25-10-2024,300.214050292969,301.135762357826
26-10-2024,299.325897216797,300.469323599424
27-10-2024,299.479888916016,299.69988179869
28-10-2024,300.705505371094,299.849431917865
29-10-2024,301.177856445313,300.715267908125
30-10-2024,301.148803710938,301.042223636172
31-10-2024,301.239105224609,301.058651369707
01-11-2024,301.208557128906,301.104105409605
02-11-2024,301.233154296875,301.172770829664
03-11-2024,299.141967773438,301.111763180842
04-11-2024,300.126770019531,299.538025266491
05-11-2024,299.785583496094,300.210831571938
06-11-2024,299.488403320313,299.89286427954
07-11-2024,298.789184570313,299.664229508483
08-11-2024,298.627655029297,299.01550733644
09-11-2024,298.556945800781,298.843650460826
10-11-2024,298.495971679688,298.695146903237
11-11-2024,297.870483398438,298.435162667662
12-11-2024,298.041076660156,297.88922478395
13-11-2024,297.944091796875,297.934380135814
14-11-2024,297.393707275391,297.801673773735
15-11-2024,298.788787841797,297.314829854227
16-11-2024,299.676849365234,298.365279800338
17-11-2024,299.524291992188,299.126634105625
18-11-2024,298.522338867188,299.301965325313
19-11-2024,297.048767089844,298.841094355312
20-11-2024,296.654357910156,297.554826503789
21-11-2024,296.171722412109,296.968630253818
22-11-2024,296.087371826172,296.360278537532
23-11-2024,296.904602050781,296.163992777661
24-11-2024,296.707061767578,297.0178401643
25-11-2024,296.141479492188,296.953896785823
26-11-2024,295.313140869141,296.106997296398
27-11-2024,294.735107421875,295.324139879037
28-11-2024,295.183349609375,294.7201056417
time_forecast,Actual_forecast,Forecast
29-11-2024,294.480285644531,295.569458007813
30-11-2024,294.518310546875,295.29443359375
01-12-2024,295.055786132813,295.250213623047
02-12-2024,297.34326171875,295.524536132813
03-12-2024,299.842468261719,296.769348144531
04-12-2024,300.534790039063,298.810974121094
05-12-2024,299.401428222656,299.936279296875
06-12-2024,299.601593017578,298.798065185547
07-12-2024,298.160400390625,298.646728515625
08-12-2024,296.777160644531,297.318664550781
