date,Actual,y_pred
30-08-2024,100487.1796875,100729.9178125
31-08-2024,100492.421875,100614.16703124999
01-09-2024,100375.7109375,100559.6316796875
02-09-2024,100501.90625,100490.81086914064
03-09-2024,100494.90625,100528.86377685546
04-09-2024,100632.0546875,100497.0765826416
05-09-2024,100448.15625,100560.5820463562
06-09-2024,100464.875,100472.62184726716
07-09-2024,100537.1484375,100469.41294795038
08-09-2024,100603.828125,100536.12557033778
09-09-2024,100474.171875,100560.24245900333
10-09-2024,100418.7109375,100518.29981300248
11-09-2024,100543.6875,100474.18196912688
12-09-2024,100689.890625,100542.15928934516
13-09-2024,100669.609375,100642.26243575886
14-09-2024,100564.484375,100633.24385806914
15-09-2024,100538.5703125,100581.68617480187
16-09-2024,100593.5625,100558.07439672638
17-09-2024,100616.28125,100571.62236004481
18-09-2024,100437.859375,100572.5617700336
19-09-2024,100586.4375,100478.19054627519
20-09-2024,100513.859375,100547.9382222064
21-09-2024,100484.5859375,100540.47851040479
22-09-2024,100478.3828125,100500.41599217859
23-09-2024,100377.21875,100506.17644725894
24-09-2024,100303.75,100410.88202294422
25-09-2024,100336.125,100338.31276720818
26-09-2024,100427.203125,100351.35957540611
27-09-2024,100614.9453125,100410.2714003046
28-09-2024,100780.4140625,100545.84862835344
29-09-2024,100920.34375,100675.25967439008
30-09-2024,100969.4140625,100801.23069329257
01-10-2024,100799.140625,100878.32278559441
02-10-2024,100750.6875,100816.31630794582
03-10-2024,100680.8125,100785.46629345935
04-10-2024,100668.015625,100751.0853450945
05-10-2024,100721.7890625,100712.4397900709
06-10-2024,100749.8359375,100764.30054567817
07-10-2024,100935.5,100812.05314363363
08-10-2024,101028.5,100901.7586077252
09-10-2024,100905.328125,100955.91833079391
10-10-2024,100792.3125,100899.70702934545
11-10-2024,100729.234375,100857.8683970091
12-10-2024,100810.3828125,100768.35832900682
13-10-2024,100849.7890625,100795.2778873801
14-10-2024,100758.828125,100825.49349366009
15-10-2024,100672.5859375,100794.89652649507
16-10-2024,100586.953125,100753.85012924629
17-10-2024,100598.46875,100662.17025318471
18-10-2024,100690.46875,100618.01112738854
19-10-2024,100830.671875,100624.67490804142
20-10-2024,101008.296875,100765.11414978105
21-10-2024,101001.0390625,100898.62358108579
22-10-2024,101014.078125,100936.38995143933
23-10-2024,100876.3515625,100975.9613698295
24-10-2024,100794.46875,100930.95360549712
25-10-2024,100785.8203125,100869.08989162286
26-10-2024,100809.40625,100822.31530934214
27-10-2024,100769.6875,100832.0846070066
28-10-2024,100666.1875,100821.44564275494
29-10-2024,100755.1328125,100763.26766956621
30-10-2024,100793.421875,100780.94364279967
31-10-2024,100932.6953125,100800.77882584973
01-11-2024,101056.8046875,100856.48951001232
02-11-2024,101126.4296875,100921.42049188423
03-11-2024,101141.78125,100996.01122828816
04-11-2024,101057.7734375,101057.20467121612
05-11-2024,101068.4375,101063.66186278709
06-11-2024,101014.609375,101072.84952209033
07-11-2024,100967.7109375,101053.96073531776
08-11-2024,101020.0,101011.96078586331
09-11-2024,101053.25,101010.96621439749
10-11-2024,101056.5546875,101017.61122329811
11-11-2024,100948.96875,101049.22021434858
12-11-2024,100814.359375,100983.74172326142
13-11-2024,100761.890625,100887.57238619607
14-11-2024,100914.5546875,100822.62225839707
15-11-2024,101018.578125,100897.5191156728
16-11-2024,101002.8671875,100961.36761800459
17-11-2024,100999.265625,100977.07188537845
18-11-2024,101000.921875,101000.60313278383
19-11-2024,101123.796875,101003.28156833787
20-11-2024,101111.625,101058.04320750342
21-11-2024,101037.953125,101073.00990562755
22-11-2024,101074.3515625,101046.75321047066
23-11-2024,101092.9921875,101050.73779847802
24-11-2024,101179.6015625,101074.36577073351
25-11-2024,101031.3125,101132.55284367512
26-11-2024,100860.15625,101087.11432025634
27-11-2024,100733.4453125,100989.21355269225
28-11-2024,100656.8203125,100859.9736801442
time_forecast,Actual_forecast,Forecast
29-11-2024,100602.328125,100798.015625
30-11-2024,100261.5234375,100695.0859375
01-12-2024,100082.7734375,100579.3125
02-12-2024,100398.609375,100454.3828125
03-12-2024,100784.375,100565.8046875
04-12-2024,100933.484375,100741.0390625
05-12-2024,101035.1796875,100845.859375
06-12-2024,101055.6171875,100940.0
07-12-2024,101004.328125,100948.09375
08-12-2024,101044.4765625,100917.765625
