date,Actual,y_pred
31-08-2024,100512.421875,100386.95984375
01-09-2024,100356.7109375,100470.0628515625
02-09-2024,100441.90625,100413.01534179687
03-09-2024,100512.90625,100446.10244384766
04-09-2024,100397.0546875,100464.98495788575
05-09-2024,100162.15625,100395.2925465393
06-09-2024,100202.875,100319.88378490448
07-09-2024,100373.1484375,100336.79221367835
08-09-2024,100400.828125,100370.00439463378
09-09-2024,100166.171875,100378.34235847533
10-09-2024,100034.7109375,100267.6761438565
11-09-2024,100046.6875,100126.51906101737
12-09-2024,99835.890625,100123.40398326304
13-09-2024,99905.609375,100140.574375
14-09-2024,100147.484375,100105.2734375
15-09-2024,100199.5703125,100017.360703125
16-09-2024,100323.5625,100086.67591796875
17-09-2024,100509.28125,100276.43006347657
18-09-2024,100432.859375,100477.08770385741
19-09-2024,100474.4375,100484.19327789306
20-09-2024,100422.859375,100514.03183341981
21-09-2024,100544.5859375,100475.26543756484
22-09-2024,100539.3828125,100524.96603129865
23-09-2024,100482.71875,100541.38257034897
24-09-2024,100339.75,100560.60958401172
25-09-2024,100272.125,100438.1351567588
26-09-2024,100407.203125,100391.39355506911
27-09-2024,100309.9453125,100431.26204130183
28-09-2024,100404.4140625,100390.22364035137
29-09-2024,100759.34375,100411.46499588851
30-09-2024,100775.4140625,100604.1923406664
01-10-2024,100499.140625,100706.8513648748
02-10-2024,100458.6875,100566.2388361561
03-10-2024,100336.8125,100543.23225211707
04-10-2024,100353.015625,100463.1205953378
05-10-2024,100592.7890625,100423.37484374999
06-10-2024,100968.8359375,100531.99996093751
07-10-2024,101244.5,100804.53129882812
08-10-2024,101221.5,101006.18347412109
09-10-2024,101024.328125,101084.89088684082
10-10-2024,100931.3125,101053.15316513061
11-10-2024,100936.234375,101002.24081134796
12-10-2024,100931.3828125,101032.32873351096
13-10-2024,101085.7890625,100990.86194075824
14-10-2024,101125.828125,101025.88231494365
15-10-2024,101060.5859375,101103.11064245776
16-10-2024,100935.953125,101074.11852871833
17-10-2024,100931.46875,101019.29670903874
18-10-2024,100957.46875,100990.94737552905
19-10-2024,101052.671875,101001.9100628968
20-10-2024,101099.296875,101099.9597346726
21-10-2024,101181.0390625,101147.02823850444
22-10-2024,101259.078125,101173.45297575333
23-10-2024,101294.3515625,101222.30113806498
24-10-2024,101162.46875,101278.31452542375
25-10-2024,101083.8203125,101213.6605815678
26-10-2024,101081.40625,101150.44410805085
27-10-2024,101017.6875,101108.44448728816
28-10-2024,100806.1875,101123.57211546612
29-10-2024,100867.1328125,101010.98627409957
30-10-2024,100835.421875,100963.82556494967
31-10-2024,101094.6953125,100909.27214246229
01-11-2024,101096.8046875,100978.0009037217
02-11-2024,101253.4296875,100969.58997466626
03-11-2024,101381.78125,101090.0333403747
04-11-2024,101251.7734375,101250.73500528102
05-11-2024,101396.4375,101255.04586333576
06-11-2024,101487.609375,101339.78736625184
07-11-2024,101378.7109375,101492.19599343889
08-11-2024,101330.0,101468.35676070416
09-11-2024,101357.25,101405.5525705281
10-11-2024,101382.5546875,101424.65786539609
11-11-2024,101380.96875,101406.17082092207
12-11-2024,101383.359375,101362.69233444156
13-11-2024,101253.890625,101404.77065708119
14-11-2024,101401.5546875,101333.65752406087
15-11-2024,101440.578125,101320.86947117065
16-11-2024,101324.8671875,101339.30054087799
17-11-2024,101337.265625,101347.39642128348
18-11-2024,101502.921875,101390.56044096262
19-11-2024,101576.796875,101441.97986197198
20-11-2024,101527.625,101494.60692772898
21-11-2024,101443.953125,101515.18675829674
22-11-2024,101399.3515625,101460.83834997256
23-11-2024,101462.9921875,101392.1833718544
24-11-2024,101479.6015625,101432.1671382658
25-11-2024,101534.3125,101469.87683807436
26-11-2024,101566.15625,101495.95809730577
27-11-2024,101475.4453125,101582.18591672932
28-11-2024,101608.8203125,101565.088578172
time_forecast,Actual_forecast,Forecast
29-11-2024,101733.328125,101588.0390625
30-11-2024,101625.5234375,101664.109375
01-12-2024,101442.7734375,101643.03125
02-12-2024,101292.609375,101465.515625
03-12-2024,101533.375,101431.359375
04-12-2024,101452.484375,101529.2890625
05-12-2024,101429.1796875,101531.7109375
06-12-2024,101355.6171875,101471.859375
07-12-2024,101307.328125,101438.65625
08-12-2024,101398.4765625,101415.21875
