date,Actual,y_pred
31-08-2024,100512.421875,100293.20943747224
01-09-2024,100356.7109375,100393.62236976372
02-09-2024,100441.90625,100285.4879462819
03-09-2024,100512.90625,100373.73008433632
04-09-2024,100397.0546875,100445.46767518771
05-09-2024,100162.15625,100312.42876169631
06-09-2024,100202.875,100205.9663550698
07-09-2024,100373.1484375,100335.53745102609
08-09-2024,100400.828125,100413.55401464958
09-09-2024,100166.171875,100307.93901325042
10-09-2024,100034.7109375,100289.29785383923
11-09-2024,100046.6875,100147.79826217852
12-09-2024,99835.890625,100126.23340826864
13-09-2024,99905.609375,99790.93699185863
14-09-2024,100147.484375,99961.95804947449
15-09-2024,100199.5703125,99994.71369503145
16-09-2024,100323.5625,100183.83208534923
17-09-2024,100509.28125,100330.43244314188
18-09-2024,100432.859375,100423.1095118538
19-09-2024,100474.4375,100364.52736858545
20-09-2024,100422.859375,100448.4098089408
21-09-2024,100544.5859375,100467.03884724392
22-09-2024,100539.3828125,100457.26471564516
23-09-2024,100482.71875,100648.41493386232
24-09-2024,100339.75,100609.2759578826
25-09-2024,100272.125,100427.65254258976
26-09-2024,100407.203125,100457.93435915146
27-09-2024,100309.9453125,100524.65058422569
28-09-2024,100404.4140625,100451.89826262296
29-09-2024,100759.34375,100406.97807676852
30-09-2024,100775.4140625,100862.95588909683
01-10-2024,100499.140625,100645.3115359817
02-10-2024,100458.6875,100562.22976686836
03-10-2024,100336.8125,100571.95961297597
04-10-2024,100353.015625,100393.77250987152
05-10-2024,100592.7890625,100394.75927544519
06-10-2024,100968.8359375,100561.28762304307
07-10-2024,101244.5,100795.81889427434
08-10-2024,101221.5,101105.50598993787
09-10-2024,101024.328125,101108.01106435174
10-10-2024,100931.3125,101035.8380666962
11-10-2024,100936.234375,100878.07003791771
12-10-2024,100931.3828125,100951.69808074621
13-10-2024,101085.7890625,101039.3049862909
14-10-2024,101125.828125,101100.93692642396
15-10-2024,101060.5859375,101041.8101558982
16-10-2024,100935.953125,101010.78925069279
17-10-2024,100931.46875,100735.75730053286
18-10-2024,100957.46875,100878.16400307308
19-10-2024,101052.671875,100819.87993681441
20-10-2024,101099.296875,101103.65016812072
21-10-2024,101181.0390625,101103.06466861714
22-10-2024,101259.078125,101201.74625021977
23-10-2024,101294.3515625,101209.44324305249
24-10-2024,101162.46875,101321.44009622377
25-10-2024,101083.8203125,101315.11766607438
26-10-2024,101081.40625,101317.15812888289
27-10-2024,101017.6875,101419.74429179718
28-10-2024,100806.1875,101273.58938380824
29-10-2024,100867.1328125,101029.66929064193
30-10-2024,100835.421875,100902.58299876793
31-10-2024,101094.6953125,100981.42409061758
01-11-2024,101096.8046875,101140.05673662132
02-11-2024,101253.4296875,101128.89395546044
03-11-2024,101381.78125,101250.44052198944
04-11-2024,101251.7734375,101345.17997155072
05-11-2024,101396.4375,101191.66347175649
06-11-2024,101487.609375,101402.74424919339
07-11-2024,101378.7109375,101408.98759869856
08-11-2024,101330.0,101203.86810792515
09-11-2024,101357.25,101393.00602415159
10-11-2024,101382.5546875,101362.69203757218
11-11-2024,101380.96875,101253.54246984445
12-11-2024,101383.359375,101331.63205194629
13-11-2024,101253.890625,101259.00681988825
14-11-2024,101401.5546875,101235.819466532
15-11-2024,101440.578125,101371.10608551865
16-11-2024,101324.8671875,101437.40771774742
17-11-2024,101337.265625,101462.9803102117
18-11-2024,101502.921875,101468.1237893135
19-11-2024,101576.796875,101655.97320107336
20-11-2024,101527.625,101675.17537797375
21-11-2024,101443.953125,101566.0184754682
22-11-2024,101399.3515625,101344.82122736456
23-11-2024,101462.9921875,101413.19438636517
24-11-2024,101479.6015625,101508.08760178661
25-11-2024,101534.3125,101533.78809470728
26-11-2024,101566.15625,101527.26213076075
27-11-2024,101475.4453125,101585.3853007375
28-11-2024,101608.8203125,101533.06951683591
time_forecast,Actual_forecast,Forecast
29-11-2024,101733.328125,101742.9609375
30-11-2024,101625.5234375,101675.0546875
01-12-2024,101442.7734375,101512.4296875
02-12-2024,101292.609375,101477.9609375
03-12-2024,101533.375,101358.375
04-12-2024,101452.484375,101512.59375
05-12-2024,101429.1796875,101461.6640625
06-12-2024,101355.6171875,101501.9765625
07-12-2024,101307.328125,101481.265625
08-12-2024,101398.4765625,101420.8125
