date,Actual,y_pred
30-08-2024,100384.1796875,100536.6028125
31-08-2024,100600.421875,100532.93046874998
01-09-2024,100623.7109375,100569.0523828125
02-09-2024,100489.90625,100552.78295898438
03-09-2024,100468.90625,100585.2550317383
04-09-2024,100664.0546875,100570.41377380371
05-09-2024,100550.15625,100638.06337722778
06-09-2024,100544.875,100608.69097042082
07-09-2024,100603.1484375,100573.68260281562
08-09-2024,100698.828125,100605.98531148673
09-09-2024,100487.171875,100674.69601486505
10-09-2024,100347.7109375,100587.10216739879
11-09-2024,100435.6875,100479.55435992408
12-09-2024,100608.890625,100448.75858244306
13-09-2024,100657.609375,100581.88659308231
14-09-2024,100637.484375,100602.71635106172
15-09-2024,100681.5703125,100581.09023204629
16-09-2024,100776.5625,100608.23087715972
17-09-2024,100871.28125,100735.48847036979
18-09-2024,100680.859375,100808.19010277736
19-09-2024,100704.4375,100714.191795833
20-09-2024,100690.859375,100766.18165937476
21-09-2024,100762.5859375,100727.51608828106
22-09-2024,100785.3828125,100757.29667558579
23-09-2024,100654.21875,100767.27977231436
24-09-2024,100420.75,100794.54014173578
25-09-2024,100360.125,100581.66135630182
26-09-2024,100253.203125,100486.08914222637
27-09-2024,100215.9453125,100413.0934375
28-09-2024,100572.4140625,100385.386875
29-09-2024,100886.34375,100490.15992187499
30-09-2024,100989.4140625,100646.96025390626
01-10-2024,100787.140625,100798.42245605469
02-10-2024,100766.6875,100817.59762329102
03-10-2024,100876.8125,100802.55040496826
04-10-2024,100847.015625,100904.4440537262
05-10-2024,100893.7890625,100925.25850904464
06-10-2024,100929.8359375,100910.22895990848
07-10-2024,100922.5,100956.81757930634
08-10-2024,100941.5,100969.15880947979
09-10-2024,100797.328125,100994.70848210983
10-10-2024,100594.3125,100887.11370533238
11-10-2024,100519.734375,100720.87309149929
12-10-2024,100681.3828125,100600.83091237447
13-10-2024,100815.7890625,100667.81763740585
14-10-2024,100864.828125,100711.02299367939
15-10-2024,100809.5859375,100717.53740150953
16-10-2024,100826.953125,100766.94547300716
17-10-2024,100652.46875,100781.24863600536
18-10-2024,100578.46875,100728.11897700402
19-10-2024,100855.671875,100657.76923275301
20-10-2024,101034.296875,100772.87520581477
21-10-2024,101030.0390625,100928.34968561109
22-10-2024,101038.078125,100969.13171733331
23-10-2024,101042.3515625,101020.71206924997
24-10-2024,100894.46875,101021.62256756247
25-10-2024,100939.8203125,100994.78317567185
26-10-2024,101047.40625,101006.2637098789
27-10-2024,100969.6875,101005.44090740918
28-10-2024,100755.1875,100900.99286805687
29-10-2024,100826.1328125,100838.53215104266
30-10-2024,100842.421875,100877.365128907
31-10-2024,100958.6953125,100859.45869043024
01-11-2024,101032.8046875,100901.5219084477
02-11-2024,101151.4296875,100953.19666571077
03-11-2024,101113.78125,101066.88242115806
04-11-2024,101045.7734375,101091.87337836855
05-11-2024,101095.4375,101107.20183065141
06-11-2024,101192.609375,101133.73793548856
07-11-2024,101162.7109375,101183.02735786642
08-11-2024,101154.0,101147.57637777482
09-11-2024,101157.25,101152.90915833112
10-11-2024,101188.5546875,101118.01468124833
11-11-2024,101229.96875,101183.01655781125
12-11-2024,101105.359375,101264.88335585844
13-11-2024,100965.890625,101167.05298564382
14-11-2024,100975.5546875,101068.29833298286
15-11-2024,101048.578125,101046.34398411214
16-11-2024,101072.8671875,101064.75470683412
17-11-2024,100993.265625,101034.4925145006
18-11-2024,101064.921875,100989.42141712544
19-11-2024,101251.796875,101026.15871909409
20-11-2024,101168.625,101111.74919557056
21-11-2024,101103.953125,101129.85345917792
22-11-2024,101087.3515625,101140.64837563343
23-11-2024,101158.9921875,101134.82948485008
24-11-2024,101197.6015625,101146.16422301256
25-11-2024,101178.3125,101177.7485578844
26-11-2024,101236.15625,101204.98516841332
27-11-2024,101145.4453125,101237.93637630998
28-11-2024,101086.8203125,101205.79736035748
time_forecast,Actual_forecast,Forecast
29-11-2024,101132.328125,101146.640625
30-11-2024,100983.5234375,101119.3671875
01-12-2024,100880.7734375,100969.4453125
02-12-2024,100687.609375,100932.765625
03-12-2024,100781.375,100875.8125
04-12-2024,100895.484375,100856.375
05-12-2024,100974.1796875,100866.90625
06-12-2024,101014.6171875,100907.234375
07-12-2024,101014.328125,100949.171875
08-12-2024,101040.4765625,101001.1953125
