date,y_pred,y_true
09-09-2024,83.01716,82.816925
10-09-2024,83.855385,85.56271
11-09-2024,85.54144,83.67342
12-09-2024,84.43758,81.98616
13-09-2024,83.315735,79.73285
14-09-2024,83.12837,81.37013
15-09-2024,82.65204,81.903755
16-09-2024,83.50502,83.275
17-09-2024,86.51683,85.9637
18-09-2024,86.52376,83.53466
19-09-2024,86.47289,77.82874
20-09-2024,85.75607,80.90371
21-09-2024,86.82413,86.513016
22-09-2024,87.25758,84.840416
23-09-2024,85.73066,87.733406
24-09-2024,87.43203,92.15808
25-09-2024,88.16307,86.90083
26-09-2024,86.977844,91.2377
27-09-2024,86.6672,87.44667
28-09-2024,85.57522,82.6388
29-09-2024,85.26321,83.217316
30-09-2024,85.48066,85.304535
01-10-2024,87.442986,91.58729
02-10-2024,88.747,90.86229
03-10-2024,87.455185,87.0309
04-10-2024,86.470535,80.682465
05-10-2024,86.253265,83.52195
06-10-2024,86.14151,81.46955
07-10-2024,84.965294,89.15795
08-10-2024,87.14626,85.908966
09-10-2024,87.55892,82.94356
10-10-2024,87.39102,86.89098
11-10-2024,87.20387,90.88237
12-10-2024,86.49739,87.53617
13-10-2024,85.72686,87.000725
14-10-2024,87.40967,90.03669
15-10-2024,87.09505,86.66514
16-10-2024,86.9745,88.57102
17-10-2024,86.99592,90.006226
18-10-2024,87.835014,84.72188
19-10-2024,86.19549,88.84803
20-10-2024,87.188835,88.25819
21-10-2024,87.13064,86.696236
22-10-2024,87.42473,84.95643
23-10-2024,87.61082,84.73112
24-10-2024,80.0372,80.32196
25-10-2024,83.98755,84.98682
26-10-2024,87.90377,81.901085
27-10-2024,88.12227,80.00734
28-10-2024,87.05494,82.99118
29-10-2024,86.746475,83.59262
30-10-2024,86.03815,84.24045
31-10-2024,85.54655,80.64814
01-11-2024,83.83664,74.40228
02-11-2024,84.37451,83.372696
03-11-2024,86.663086,70.588425
04-11-2024,83.376656,72.83246
05-11-2024,82.442924,72.23145
06-11-2024,69.769585,71.61538
07-11-2024,73.66182,63.368355
08-11-2024,62.921642,68.636246
09-11-2024,73.5092,71.46316
10-11-2024,66.35345,63.904915
11-11-2024,63.883175,70.78231
12-11-2024,63.333225,66.17397
13-11-2024,61.56757,66.52855
14-11-2024,65.95471,71.995125
15-11-2024,71.4695,62.92495
16-11-2024,66.4487,74.32234
17-11-2024,68.47274,75.80084
18-11-2024,72.20852,77.65081
19-11-2024,75.18751,66.93747
20-11-2024,69.2811,64.797485
21-11-2024,64.78556,75.57395
22-11-2024,70.91344,76.63234
23-11-2024,71.36972,77.186356
24-11-2024,75.91058,77.40865
25-11-2024,77.97342,75.10032
26-11-2024,73.70013,64.90719
27-11-2024,64.8406,66.189354
28-11-2024,69.271454,60.837254
29-11-2024,66.945786,61.474617
30-11-2024,66.881256,60.535202
01-12-2024,72.70365,65.55061
02-12-2024,76.324646,72.49359
03-12-2024,79.60615,69.02197
04-12-2024,73.488754,74.415955
05-12-2024,74.459206,81.9986
06-12-2024,81.00387,87.37559
07-12-2024,85.53273,71.132
08-12-2024,77.75956,56.623573
09-12-2024,70.03798,60.937737
10-12-2024,70.6165,55.42494
11-12-2024,67.70602,70.02446
12-12-2024,66.180374,71.82893
13-12-2024,67.31641,70.226685
14-12-2024,65.51349,61.803192
15-12-2024,65.458626,68.158676
16-12-2024,69.94138,64.192635
17-12-2024,70.833595,62.807747
18-12-2024,72.080086,65.72163
19-12-2024,74.61053,81.28883
20-12-2024,79.79822,89.20983
21-12-2024,81.19369507,81.26954
time,predicted,actual
22-12-2024,80.50920868,83.66376
23-12-2024,79.74253082,84.77722
24-12-2024,79.08296204,70.21124
25-12-2024,78.75766754,60.95616
26-12-2024,78.66916656,72.68005
27-12-2024,78.89073944,78.91093
28-12-2024,69.2453,84.529686
29-12-2024,77.70479,78.543236
30-12-2024,71.736565,72.58188
31-12-2024,62.79554,75.13464
