date,y_pred,y_true
12-09-2024,300.3456,300.68283
13-09-2024,300.5185,301.12042
14-09-2024,300.4236,300.38263
15-09-2024,300.43637,300.3576
16-09-2024,300.32388,299.6376
17-09-2024,299.8053,299.48462
18-09-2024,299.44363,299.571
19-09-2024,299.88367,300.80713
20-09-2024,300.21948,300.77536
21-09-2024,300.1369,300.1179
22-09-2024,300.05203,300.14746
23-09-2024,300.66714,301.1506
24-09-2024,300.58496,299.97217
25-09-2024,300.66742,300.61755
26-09-2024,300.68607,299.59097
27-09-2024,300.13556,300.2365
28-09-2024,300.04465,300.69968
29-09-2024,299.8406,300.63812
30-09-2024,299.6595,300.53928
01-10-2024,299.90332,300.2379
02-10-2024,300.623,301.1933
03-10-2024,300.34686,301.52435
04-10-2024,299.96994,301.28986
05-10-2024,299.91196,300.58417
06-10-2024,300.13803,300.65604
07-10-2024,300.22968,300.349
08-10-2024,300.22018,301.14917
09-10-2024,300.321,301.69376
10-10-2024,300.13498,299.85608
11-10-2024,300.03625,300.14032
12-10-2024,300.25543,300.7556
13-10-2024,300.16757,300.86716
14-10-2024,299.96875,300.16782
15-10-2024,300.40933,300.34998
16-10-2024,300.44595,301.05414
17-10-2024,300.14023,301.0656
18-10-2024,300.19705,301.4787
19-10-2024,300.87616,300.35504
20-10-2024,299.96625,300.0695
21-10-2024,299.49347,300.12616
22-10-2024,299.82407,300.76746
23-10-2024,299.75888,301.26016
24-10-2024,299.85974,300.9287
25-10-2024,300.13052,300.21405
26-10-2024,299.2251,299.3259
27-10-2024,299.3434,299.4799
28-10-2024,299.87103,300.7055
29-10-2024,300.195,301.17786
30-10-2024,300.3315,301.1488
31-10-2024,300.40817,301.2391
01-11-2024,300.68893,301.20856
02-11-2024,300.3143,301.23315
03-11-2024,300.00797,299.14197
04-11-2024,300.0615,300.12677
05-11-2024,300.19592,299.78558
06-11-2024,299.60306,299.4884
07-11-2024,299.72128,298.78918
08-11-2024,299.38348,298.62766
09-11-2024,299.56024,298.55695
10-11-2024,297.9538,298.49597
11-11-2024,298.59436,297.87048
12-11-2024,298.17325,298.04108
13-11-2024,298.2975,297.9441
14-11-2024,298.41373,297.3937
15-11-2024,297.47464,298.7888
16-11-2024,297.90836,299.67685
17-11-2024,299.07498,299.5243
18-11-2024,299.3,298.52234
19-11-2024,298.39264,297.04877
20-11-2024,296.74344,296.65436
21-11-2024,296.53705,296.17172
22-11-2024,296.51447,296.08737
23-11-2024,296.4737,296.9046
24-11-2024,296.28296,296.70706
25-11-2024,296.36914,296.14148
26-11-2024,295.46698,295.31314
27-11-2024,295.00394,294.7351
28-11-2024,294.55338,295.18335
29-11-2024,295.0943,294.4803
30-11-2024,294.30777,294.5183
01-12-2024,294.65338,295.0558
02-12-2024,296.0131,297.34326
03-12-2024,297.54333,299.84247
04-12-2024,298.75568,300.5348
05-12-2024,299.3567,299.40143
06-12-2024,298.60812,299.6016
07-12-2024,298.87198,298.1604
08-12-2024,297.29578,296.77716
09-12-2024,294.2642,294.1116
10-12-2024,293.0831,294.78018
11-12-2024,293.97177,295.7755
12-12-2024,295.60434,296.10217
13-12-2024,295.89874,295.803
14-12-2024,296.30286,294.7185
15-12-2024,295.83075,294.15945
16-12-2024,294.23636,293.5481
17-12-2024,293.60034,293.0377
18-12-2024,293.71603,293.8604
19-12-2024,294.29938,293.46442
20-12-2024,294.73267,294.8668
21-12-2024,295.1422424,295.5642
time,predicted,actual
22-12-2024,294.7764587,295.59882
23-12-2024,294.2471924,296.0251
24-12-2024,293.8063354,294.90057
25-12-2024,293.7202454,294.38538
26-12-2024,293.8434753,296.0394
27-12-2024,294.5037231,296.11258
28-12-2024,295.6063,295.99588
29-12-2024,295.56735,296.10358
30-12-2024,295.85522,297.0329
31-12-2024,296.4112,296.80887
