date,y_pred,y_true
12-09-2024,300.21912,300.68283
13-09-2024,300.43604,301.12042
14-09-2024,300.37497,300.38263
15-09-2024,300.07843,300.3576
16-09-2024,300.25644,299.6376
17-09-2024,299.81924,299.48462
18-09-2024,299.8282,299.571
19-09-2024,299.8298,300.80713
20-09-2024,300.13092,300.77536
21-09-2024,300.2788,300.1179
22-09-2024,300.09714,300.14746
23-09-2024,300.16415,301.1506
24-09-2024,300.37872,299.97217
25-09-2024,300.27136,300.61755
26-09-2024,300.56442,299.59097
27-09-2024,300.16266,300.2365
28-09-2024,300.36002,300.69968
29-09-2024,300.0589,300.63812
30-09-2024,299.83945,300.53928
01-10-2024,300.2534,300.2379
02-10-2024,300.61725,301.1933
03-10-2024,300.7044,301.52435
04-10-2024,300.48636,301.28986
05-10-2024,300.5116,300.58417
06-10-2024,300.45044,300.65604
07-10-2024,300.8604,300.349
08-10-2024,300.69467,301.14917
09-10-2024,300.57538,301.69376
10-10-2024,300.5789,299.85608
11-10-2024,300.28574,300.14032
12-10-2024,300.42706,300.7556
13-10-2024,300.22794,300.86716
14-10-2024,300.17078,300.16782
15-10-2024,300.01843,300.34998
16-10-2024,300.2636,301.05414
17-10-2024,300.48706,301.0656
18-10-2024,300.53595,301.4787
19-10-2024,300.79465,300.35504
20-10-2024,300.51715,300.0695
21-10-2024,299.88812,300.12616
22-10-2024,299.87836,300.76746
23-10-2024,299.85944,301.26016
24-10-2024,300.397,300.9287
25-10-2024,300.52692,300.21405
26-10-2024,300.229,299.3259
27-10-2024,299.85626,299.4799
28-10-2024,299.35233,300.7055
29-10-2024,299.84567,301.17786
30-10-2024,300.1739,301.1488
31-10-2024,299.99277,301.2391
01-11-2024,300.10437,301.20856
02-11-2024,300.15176,301.23315
03-11-2024,300.24277,299.14197
04-11-2024,299.65686,300.12677
05-11-2024,300.034,299.78558
06-11-2024,299.6493,299.4884
07-11-2024,299.59113,298.78918
08-11-2024,299.14838,298.62766
09-11-2024,298.88068,298.55695
10-11-2024,298.36124,298.49597
11-11-2024,298.19382,297.87048
12-11-2024,298.11475,298.04108
13-11-2024,298.14746,297.9441
14-11-2024,297.92648,297.3937
15-11-2024,297.84866,298.7888
16-11-2024,298.30588,299.67685
17-11-2024,298.7277,299.5243
18-11-2024,299.1763,298.52234
19-11-2024,298.81046,297.04877
20-11-2024,297.51495,296.65436
21-11-2024,297.13483,296.17172
22-11-2024,296.87466,296.08737
23-11-2024,296.80475,296.9046
24-11-2024,296.5318,296.70706
25-11-2024,296.48578,296.14148
26-11-2024,296.07855,295.31314
27-11-2024,295.6958,294.7351
28-11-2024,295.47812,295.18335
29-11-2024,295.32333,294.4803
30-11-2024,294.9619,294.5183
01-12-2024,294.71695,295.0558
02-12-2024,295.26907,297.34326
03-12-2024,296.31943,299.84247
04-12-2024,297.77707,300.5348
05-12-2024,298.73676,299.40143
06-12-2024,298.78812,299.6016
07-12-2024,298.6797,298.1604
08-12-2024,297.6661,296.77716
09-12-2024,296.19507,294.1116
10-12-2024,295.03537,294.78018
11-12-2024,294.76105,295.7755
12-12-2024,295.41696,296.10217
13-12-2024,296.1672,295.803
14-12-2024,296.5066,294.7185
15-12-2024,296.12466,294.15945
16-12-2024,295.7305,293.5481
17-12-2024,294.69336,293.0377
18-12-2024,294.4524,293.8604
19-12-2024,294.56876,293.46442
20-12-2024,294.7416,294.8668
21-12-2024,295.0277405,295.5642
time,predicted,actual
22-12-2024,294.6825562,295.59882
23-12-2024,294.3085632,296.0251
24-12-2024,294.2290344,294.90057
25-12-2024,294.3951721,294.38538
26-12-2024,294.7218323,296.0394
27-12-2024,295.2615662,296.11258
28-12-2024,295.7005,295.99588
29-12-2024,295.23013,296.10358
30-12-2024,295.72095,297.0329
31-12-2024,296.90552,296.80887
